,ID,comments,cleaned_comments
3245,mqzjDrrZIdE,I couldn&#39;t wait for this trailer to come out because it&#39;s so much like a book I&#39;ve read. I cant wait to see it!,wait trailer come much like book read cant wait see
3246,mqzjDrrZIdE,this will be great! .... ON DVD.,great dvd
3247,mqzjDrrZIdE,@ramarskils she does. but she sumhow thinks leaving greys n being a ungreatful person 2 the ppl who made her famous was the rite choice! lame!,ramarskil sumhow think leav grey n ungreat person ppl made famou rite choic lame
3248,mqzjDrrZIdE,@WildDiscoDance thanku... its like they think we&#39;re retarted. we bascially know the entire movie. y pay 2 watch it now. lol idiots!,wilddiscod thanku like think retart bascial know entir movi pay watch lol idiot
3249,mqzjDrrZIdE,"hahahahahaha hilarious,, this looks good,,",hahahahahaha hilari look good
3250,mqzjDrrZIdE,typical katherine heigl movie,typic katherin heigl movi
3251,mqzjDrrZIdE,wow ads.. on youtube.,wow ad youtub
3252,mqzjDrrZIdE,&#39;sweetie you have poo on your face&#39; LOL funny as,sweeti poo face lol funni
3253,mqzjDrrZIdE,haha! this would never happen...but it looks like a cute movie I wanna watch it :),haha would never happen look like cute movi wan na watch
3254,mqzjDrrZIdE,@ASCowns My god parents aren&#39;t a couple.  One is my mom&#39;s sister and the other is my dad&#39;s brother.  The church had no problems with that.,ascown god parent coupl one mom sister dad brother church problem
3256,mqzjDrrZIdE,"@girlatwork28, i think he says why dont we meet at 10.30? something like that?",girlatwork think say dont meet someth like
3257,mqzjDrrZIdE,i thought this was the book,thought book
3258,mqzjDrrZIdE,Katherine Heigl! do something different! all her roles are the same!,katherin heigl someth differ role
3259,mqzjDrrZIdE,Does anyone know where you can buy the tiger pillow at 1:44?,anyon know buy tiger pillow
3260,mqzjDrrZIdE,OOOMMMGGG this looks soooo good!! I CAN&quot;T WAIT TILL IT COMES OUT!!!!,ooommmggg look soooo good quot wait till come
3261,mqzjDrrZIdE,I&#39;m so going to see this when it comes out! :D,go see come
3262,mqzjDrrZIdE,The promo shows the whole movie.,promo show whole movi
3264,mqzjDrrZIdE,Aww looks like the perfect rom com of the year...,aww look like perfect rom com year
3265,mqzjDrrZIdE,@superkidd0 oops! my bad...thank you for correcting.,superkidd oop bad thank correct
3266,mqzjDrrZIdE,@klosemia oops! my bad...thank you for correcting.,klosemia oop bad thank correct
3267,mqzjDrrZIdE,@willthereveal2 &quot;she said that about taylor swfit and that twilight kid&quot;,willtherev quot said taylor swfit twilight kid quot
3268,mqzjDrrZIdE,is it just me or does it look like katherine heigel lost weight?,look like katherin heigel lost weight
3269,mqzjDrrZIdE,@ancheliic Passion Pit - Moth&#39;s Wings,ancheli passion pit moth wing
3270,mqzjDrrZIdE,&quot;she said that about taylor swift that&#39;s why i like that kid&quot;,quot said taylor swift like kid quot
3272,mqzjDrrZIdE,looks like a typical rom-com plus a super cute baby. but josh duhamel looks hot :D,look like typic rom com plu super cute babi josh duhamel look hot
